"person_id","study_id","language","gender","age","education","hg_1","hg_3","hg_4","hg_7","hg_10","hg_13","pp_1","pp_6","pp_8","pp_11","pp_12","pp_14","pp_15","pp_17","mc_1","mc_2","mc_3","mc_7","mc_15","mc_18","mc_20","mc_23","hg","pp","mc","cr","cp","cc"
"01_189","01","DE","m",58,6,3,4,3,5,4,4,3,5,1,4,3,2,3,5,5,4,4,6,4,5,5,5,4,2.4,4.8,NA,NA,NA
"01_190","01","DE","m",45,3,6,3,6,6,3,6,6,3,6,3,3,6,6,3,3,3,6,6,3,3,3,3,4.8,5.4,3.6,NA,NA,NA
"01_192","01","DE","f",45,4,6,5,4,4,4,6,4,6,1,6,1,1,1,5,1,1,4,4,5,4,4,4,5,1.6,3.4,NA,NA,NA
"01_193","01","DE","f",44,6,3,1,1,4,3,4,4,4,3,5,3,4,3,3,4,1,3,4,2,2,2,4,3,3.4,3,NA,NA,NA
"01_194","01","DE","f",46,3,5,3,3,4,4,4,5,4,4,4,4,4,4,4,5,4,4,4,5,4,5,4,4,4.2,4.4,NA,NA,NA
"01_195","01","DE","m",62,6,5,4,4,5,3,4,6,5,6,6,6,6,5,4,5,5,3,4,4,2,4,6,4.2,5.8,4,NA,NA,NA
"01_196","01","DE","f",43,7,5,3,4,4,4,5,5,4,3,5,4,1,5,5,3,5,4,5,3,5,5,5,4.2,3.6,4.4,NA,NA,NA
"01_197","01","DE","f",30,6,5,2,4,3,2,3,5,5,4,5,4,5,5,5,4,4,5,3,5,5,4,3,3,4.6,4.2,NA,NA,NA
"01_199","01","DE","m",50,4,6,4,3,5,5,4,4,4,4,4,4,3,4,2,5,4,6,4,2,4,5,4,4.8,3.8,4.8,NA,NA,NA
"01_200","01","DE","m",33,6,4,3,4,5,3,4,4,2,2,4,4,3,3,5,3,3,5,6,2,3,4,5,3.8,3.2,4,NA,NA,NA
"01_201","01","DE","m",52,4,5,4,2,4,4,4,3,5,3,5,3,2,3,3,5,5,4,4,5,5,6,4,4.2,2.8,4.8,NA,NA,NA
"01_202","01","DE","f",33,6,1,2,1,3,1,2,4,4,5,5,5,5,2,1,3,2,2,4,2,3,2,3,1.8,4.2,2.6,NA,NA,NA
"01_203","01","DE","m",60,4,4,3,1,4,1,3,3,3,4,2,3,4,2,3,6,5,2,2,5,4,4,5,3,3.2,4.2,NA,NA,NA
"01_204","01","DE","m",51,5,4,3,3,3,4,4,4,4,4,3,4,3,4,4,4,3,3,4,2,4,3,3,3.6,3.8,3.4,NA,NA,NA
